gene_standard_name,gene_name,gene_primary_dbid,cross_ref_id,homolog_standard_name,homolog_systematic_name,homolog_name,disease_identifier,disease_name,data_source,homolog_algorithm,homolog_algorithm_matches,homolog_algorithm_attempts
EFR3A,EFR3 homolog A,23167,611798,EFR3,YMR212C,PHO Eighty Five Requiring,,,DiOPT,Ensembl Compara|OrthoFinder,2,9
EHD4,EH-domain containing 4,30844,605892,IRS4,YKR019C,Increased rDNA Silencing,,,DiOPT,Ensembl Compara|PANTHER,2,9
EHD4,EH-domain containing 4,30844,605892,SLA1,YBL007C,Synthetic Lethal with ABP1,,,DiOPT,Ensembl Compara|PANTHER,2,9
EIF2S2,"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa",8894,603908,SUI3,YPL237W,SUppressor of Initiator codon,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
EIF4G2,"eukaryotic translation initiation factor 4 gamma, 2",1982,602325,TIF4631,YGR162W,Translation Initiation Factor,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|SonicParanoid|Ensembl Compara,5,9
EIF4G2,"eukaryotic translation initiation factor 4 gamma, 2",1982,602325,TIF4632,YGL049C,Translation Initiation Factor,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|SonicParanoid|Ensembl Compara,5,9
EIF4G3,"eukaryotic translation initiation factor 4 gamma, 3",8672,603929,TIF4631,YGR162W,Translation Initiation Factor,,,DiOPT,Hieranoid|OrthoInspector|PANTHER,3,9
EIF4G3,"eukaryotic translation initiation factor 4 gamma, 3",8672,603929,TIF4632,YGL049C,Translation Initiation Factor,,,DiOPT,Hieranoid|OrthoInspector|PANTHER,3,9
EIF5A,eukaryotic translation initiation factor 5A,1984,600187,ANB1,YJR047C,ANaeroBically induced,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
EIF5A,eukaryotic translation initiation factor 5A,1984,600187,HYP2,YEL034W,HYPusine-containing protein,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
EIF6,eukaryotic translation initiation factor 6,3692,602912,TIF6,YPR016C,Translation Initiation Factor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ELOVL1,ELOVL fatty acid elongase 1,64834,611813,ELO3,YLR372W,fatty acid ELOngation,,,DiOPT,InParanoid|OrthoInspector|OMA|Ensembl Compara,4,9
ENO1,"enolase 1, (alpha)",2023,172430,ENO1,YGR254W,ENOlase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ENO1,"enolase 1, (alpha)",2023,172430,ENO2,YHR174W,ENOlase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ENO1,"enolase 1, (alpha)",2023,172430,ERR1,YOR393W,Enolase-Related Repeat,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|OMA|SonicParanoid|Ensembl Compara,8,9
ENO1,"enolase 1, (alpha)",2023,172430,ERR2,YPL281C,Enolase-Related Repeat,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|OMA|SonicParanoid|Ensembl Compara,8,9
ENO1,"enolase 1, (alpha)",2023,172430,ERR3,YMR323W,Enolase-Related Repeat,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|OMA|SonicParanoid|Ensembl Compara,8,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP1,YCR026C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,125853,"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP1,YCR026C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,615522,COLE DISEASE; COLED,DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP1,YCR026C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,601665,"OBESITY LEANNESS, INCLUDED",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP1,YCR026C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,613312,"HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL RECESSIVE, 2; ARHR2",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP1,YCR026C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,208000,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1; GACI1",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP2,YEL016C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,125853,"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP2,YEL016C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,615522,COLE DISEASE; COLED,DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP2,YEL016C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,601665,"OBESITY LEANNESS, INCLUDED",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP2,YEL016C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,613312,"HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL RECESSIVE, 2; ARHR2",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5167,173335,NPP2,YEL016C,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,208000,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1; GACI1",DiOPT,OrthoInspector|PANTHER|Ensembl Compara|OrthoFinder,4,9
ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4,9583,607577,YND1,YER005W,Yeast Nucleoside Diphosphatase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
EPC1,enhancer of polycomb homolog 1 (Drosophila),80314,610999,EPL1,YFL024C,Enhancer of Polycomb Like,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,7,9
EPN2,epsin 2,22905,607263,ENT1,YDL161W,Epsin N-Terminal homology,,,DiOPT,Hieranoid|PANTHER|OrthoFinder,3,9
EPN2,epsin 2,22905,607263,ENT2,YLR206W,Epsin N-Terminal homology,,,DiOPT,Hieranoid|PANTHER|OrthoFinder,3,9
EPN2,epsin 2,22905,607263,ENT4,YLL038C,Epsin N-Terminal homology,,,DiOPT,PhylomeDB|PANTHER|OrthoFinder,3,9
EPRS,glutamyl-prolyl-tRNA synthetase,2058,138295,,YHR020W,,,,DiOPT,OrthoInspector|PhylomeDB|SonicParanoid|PANTHER,4,9
ERCC6,excision repair cross-complementation group 6,2074,609413,RAD26,YJR035W,RADiation sensitive,600630,UV-SENSITIVE SYNDROME 1; UVSS1,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ERCC6,excision repair cross-complementation group 6,2074,609413,RAD26,YJR035W,RADiation sensitive,214150,CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ERCC6,excision repair cross-complementation group 6,2074,609413,RAD26,YJR035W,RADiation sensitive,211980,"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ERCC6,excision repair cross-complementation group 6,2074,609413,RAD26,YJR035W,RADiation sensitive,613761,"MACULAR DEGENERATION, AGE-RELATED, 5; ARMD5",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ERCC6,excision repair cross-complementation group 6,2074,609413,RAD26,YJR035W,RADiation sensitive,278800,DE SANCTIS-CACCHIONE SYNDROME,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ERCC6,excision repair cross-complementation group 6,2074,609413,RAD26,YJR035W,RADiation sensitive,133540,COCKAYNE SYNDROME B; CSB,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
ERN1,endoplasmic reticulum to nucleus signaling 1,2081,604033,IRE1,YHR079C,Inositol REquiring,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid,6,9
ESCO1,establishment of sister chromatid cohesion N-acetyltransferase 1,114799,609674,ECO1,YFR027W,Establishment of COhesion,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|SonicParanoid|Ensembl Compara,6,9
ETF1,eukaryotic translation termination factor 1,2107,600285,SUP45,YBR143C,SUPpressor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
ETNK2,ethanolamine kinase 2,55224,609859,CKI1,YLR133W,Choline KInase,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|PANTHER,4,9
ETNK2,ethanolamine kinase 2,55224,609859,EKI1,YDR147W,Ethanolamine KInase,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|PANTHER,4,9
EXOC3,exocyst complex component 3,11336,608186,SEC6,YIL068C,SECretory,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
EXOSC10,exosome component 10,5394,605960,RRP6,YOR001W,Ribosomal RNA Processing,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
EXOSC2,exosome component 2,23404,602238,RRP4,YHR069C,Ribosomal RNA Processing,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit,2145,601674,SET2,YJL168C,SET domain-containing,,,DiOPT,SonicParanoid|Ensembl Compara,2,9
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,2146,601573,SET2,YJL168C,SET domain-containing,277590,WEAVER SYNDROME; WVS,DiOPT,SonicParanoid|Ensembl Compara,2,9
FAP,fibroblast activation protein alpha,2191,600403,STE13,YOR219C,STErile,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FARSB,phenylalanyl-tRNA synthetase beta subunit,10056,609690,FRS1,YLR060W,phenylalanyl (F)-tRNA Synthetase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FBP1,"fructose-1,6-bisphosphatase 1",2203,611570,FBP1,YLR377C,"Fructose-1,6-BisPhosphatase",229700,"FRUCTOSE-1,6-BISPHOSPHATASE DEFICIENCY; FBP1D",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FBXL13,F-box and leucine-rich repeat protein 13,222235,609080,GRR1,YJR090C,Glucose Repression-Resistant,,,DiOPT,OrthoInspector|Ensembl Compara,2,9
FBXL7,F-box and leucine-rich repeat protein 7,23194,605656,GRR1,YJR090C,Glucose Repression-Resistant,,,DiOPT,OrthoInspector|Ensembl Compara,2,9
FBXL7,F-box and leucine-rich repeat protein 7,23194,605656,RAD7,YJR052W,RADiation sensitive,,,DiOPT,InParanoid|Ensembl Compara,2,9
FBXO8,F-box protein 8,26269,605649,SYT1,YPR095C,Suppressor of ypt3,,,DiOPT,Ensembl Compara|PANTHER,2,9
FBXW7,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase",55294,606278,CDC4,YFL009W,Cell Division Cycle,,,DiOPT,Hieranoid|PhylomeDB|OrthoFinder,3,9
FBXW7,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase",55294,606278,MET30,YIL046W,METhionine requiring,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid,3,9
FDX1L,ferredoxin 1-like,112812,614585,YAH1,YPL252C,Yeast Adrenodoxin Homolog,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,7,9
FDXR,ferredoxin reductase,2232,103270,ARH1,YDR376W,Adrenodoxin Reductase Homolog,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FECH,ferrochelatase,2235,612386,HEM15,YOR176W,HEMe biosynthesis,177000,"PROTOPORPHYRIA, ERYTHROPOIETIC; EPP",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FEN1,flap structure-specific endonuclease 1,2237,600393,RAD27,YKL113C,RADiation sensitive,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FKBP1A,"FK506 binding protein 1A, 12kDa",2280,186945,FPR1,YNL135C,Fk 506-sensitive Proline Rotamase,,,DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|OMA|SonicParanoid,6,9
FMO1,flavin containing monooxygenase 1,2326,136130,FMO1,YHR176W,Flavin containing MonoOxygenase,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
FMO5,flavin containing monooxygenase 5,2330,603957,FMO1,YHR176W,Flavin containing MonoOxygenase,,,DiOPT,InParanoid|OrthoInspector|SonicParanoid|Ensembl Compara,4,9
FOLH1,folate hydrolase (prostate-specific membrane antigen) 1,2346,600934,VPS70,YJR126C,Vacuolar Protein Sorting,,,DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,7,9
FPGS,folylpolyglutamate synthase,2356,136510,MET7,YOR241W,METhionine requiring,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FTSJ1,FtsJ RNA methyltransferase homolog 1 (E. coli),24140,300499,TRM7,YBR061C,Transfer RNA Methyltransferase,309549,"MENTAL RETARDATION, X-LINKED 9; MRX9",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
FTSJ2,FtsJ RNA methyltransferase homolog 2 (E. coli),29960,606906,MRM2,YGL136C,Mitochondrial rRNA Methyl transferase,,,DiOPT,Hieranoid|OMA|PANTHER,3,9
GABARAP,GABA(A) receptor-associated protein,11337,605125,ATG8,YBL078C,AuTophaGy related,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,7,9
GARS,glycyl-tRNA synthetase,2617,600287,GRS1,YBR121C,Glycyl-tRNA Synthase,601472,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2D; CMT2D",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
GARS,glycyl-tRNA synthetase,2617,600287,GRS1,YBR121C,Glycyl-tRNA Synthase,600794,"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VA; HMN5A",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
GARS,glycyl-tRNA synthetase,2617,600287,GRS2,YPR081C,Glycyl-tRNA Synthase,601472,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2D; CMT2D",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|OMA|SonicParanoid|Ensembl Compara,8,9
GARS,glycyl-tRNA synthetase,2617,600287,GRS2,YPR081C,Glycyl-tRNA Synthase,600794,"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VA; HMN5A",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|OMA|SonicParanoid|Ensembl Compara,8,9
GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",2618,138440,ADE57,YGL234W,ADEnine requiring,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
GGA1,"golgi-associated, gamma adaptin ear containing, ARF binding protein 1",26088,606004,GGA1,YDR358W,"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein",,,DiOPT,OrthoInspector|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,5,9
GGA1,"golgi-associated, gamma adaptin ear containing, ARF binding protein 1",26088,606004,GGA2,YHR108W,"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein",,,DiOPT,OrthoInspector|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,6,9
GGPS1,geranylgeranyl diphosphate synthase 1,9453,606982,BTS1,YPL069C,Bet Two Suppressor,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
GIGYF1,GRB10 interacting GYF protein 1,64599,612064,SMY2,YBR172C,Suppressor of MYo2-66,,,DiOPT,InParanoid|OrthoInspector|PANTHER|OrthoFinder,4,9
GIGYF1,GRB10 interacting GYF protein 1,64599,612064,SYH1,YPL105C,SmY2 Homolog,,,DiOPT,InParanoid|PANTHER|OrthoFinder,3,9
GIGYF2,GRB10 interacting GYF protein 2,26058,612003,SMY2,YBR172C,Suppressor of MYo2-66,607688,"PARKINSON DISEASE 11, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO; PARK11",DiOPT,InParanoid|PANTHER|OrthoFinder,3,9
GIGYF2,GRB10 interacting GYF protein 2,26058,612003,SYH1,YPL105C,SmY2 Homolog,607688,"PARKINSON DISEASE 11, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO; PARK11",DiOPT,InParanoid|PANTHER|OrthoFinder,3,9
GINS3,GINS complex subunit 3 (Psf3 homolog),64785,610610,PSF3,YOL146W,Partner of Sld Five,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,7,9
GLIPR2,GLI pathogenesis-related 2,152007,607141,PRY1,YJL079C,Pathogen Related in Yeast,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|Hieranoid|SonicParanoid,5,9
GLIPR2,GLI pathogenesis-related 2,152007,607141,PRY2,YKR013W,Pathogen Related in Yeast,,,DiOPT,Hieranoid|SonicParanoid|PANTHER|OrthoFinder,4,9
GLRX2,glutaredoxin 2,51022,606820,GRX1,YCL035C,GlutaRedoXin,,,DiOPT,OrthoInspector|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
GLRX2,glutaredoxin 2,51022,606820,GRX2,YDR513W,GlutaRedoXin,,,DiOPT,OrthoInspector|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,6,9
GLRX3,glutaredoxin 3,10539,612754,GRX3,YDR098C,GlutaRedoXin,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|SonicParanoid|Ensembl Compara,8,9
GLRX3,glutaredoxin 3,10539,612754,GRX4,YER174C,GlutaRedoXin,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
GMFB,"glia maturation factor, beta",2764,601713,AIM7,YDR063W,Altered Inheritance rate of Mitochondria,,,DiOPT,PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,6,9
GMFG,"glia maturation factor, gamma",9535,604104,AIM7,YDR063W,Altered Inheritance rate of Mitochondria,,,DiOPT,PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|Ensembl Compara,6,9
GMPS,guanine monophosphate synthase,8833,600358,GUA1,YMR217W,GUanine Auxotroph,,,DiOPT,OrthoInspector|PANTHER|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,7,9
GNAI3,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3",2773,139370,GPA1,YHR005C,G Protein Alpha subunit,602483,AURICULOCONDYLAR SYNDROME 1; ARCND1,DiOPT,PhylomeDB|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,7,9
GNAT1,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1",2779,139330,GPA1,YHR005C,G Protein Alpha subunit,610444,"NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 3; CSNBAD3",DiOPT,PhylomeDB|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,7,9
GNAT1,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1",2779,139330,GPA1,YHR005C,G Protein Alpha subunit,616389,"NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1G; CSNB1G",DiOPT,PhylomeDB|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,7,9
GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1",2782,139380,STE4,YOR212W,STErile,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,7,9
GNB2,"guanine nucleotide binding protein (G protein), beta polypeptide 2",2783,139390,STE4,YOR212W,STErile,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
GOLPH3,golgi phosphoprotein 3 (coat-protein),64083,612207,VPS74,YDR372C,Vacuolar Protein Sorting,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
GOLT1B,golgi transport 1B,51026,615078,GOT1,YMR292W,GOlgi Transport,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid,8,9
GORASP2,"golgi reassembly stacking protein 2, 55kDa",26003,608693,GRH1,YDR517W,GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|Hieranoid|SonicParanoid|Ensembl Compara,7,9
GOSR2,golgi SNAP receptor complex member 2,9570,604027,BOS1,YLR078C,Bet One Suppressor,614018,"EPILEPSY, PROGRESSIVE MYOCLONIC, 6; EPM6",DiOPT,Hieranoid|PANTHER|OrthoFinder,3,9
GPR89A,G protein-coupled receptor 89A,653519,612821,,YHR078W,,,,DiOPT,InParanoid|Hieranoid|PANTHER|OrthoFinder,4,9
GPR89B,G protein-coupled receptor 89B,51463,612806,,YHR078W,,,,DiOPT,InParanoid|Hieranoid|PANTHER|OrthoFinder,4,9
GPT,glutamic-pyruvate transaminase (alanine aminotransferase),2875,138200,ALT1,YLR089C,ALanine Transaminase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
GPT,glutamic-pyruvate transaminase (alanine aminotransferase),2875,138200,ALT2,YDR111C,ALanine Transaminase,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
GSS,glutathione synthetase,2937,601002,GSH2,YOL049W,Glutathione,231900,"GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO; GSSDE",DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
GSS,glutathione synthetase,2937,601002,GSH2,YOL049W,Glutathione,266130,GLUTATHIONE SYNTHETASE DEFICIENCY; GSSD,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
GTF2F2,"general transcription factor IIF, polypeptide 2, 30kDa",2963,189969,TFG2,YGR005C,Transcription Factor G,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|Hieranoid|Ensembl Compara,6,9
GTF3C3,"general transcription factor IIIC, polypeptide 3, 102kDa",9330,604888,TFC4,YGR047C,Transcription Factor class C,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|Ensembl Compara,7,9
GYS1,glycogen synthase 1 (muscle),2997,138570,GSY1,YFR015C,Glycogen SYnthase,611556,"GLYCOGEN STORAGE DISEASE 0, MUSCLE; GSD0B",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
GYS1,glycogen synthase 1 (muscle),2997,138570,GSY2,YLR258W,Glycogen SYnthase,611556,"GLYCOGEN STORAGE DISEASE 0, MUSCLE; GSD0B",DiOPT,OrthoInspector|PhylomeDB|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,9,9
H2AFX,"H2A histone family, member X",3014,601772,HTA1,YDR225W,Histone h Two A,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
H2AFX,"H2A histone family, member X",3014,601772,HTA2,YBL003C,Histone h Two A,,,DiOPT,OrthoInspector|PhylomeDB|PANTHER|InParanoid|Hieranoid|OMA|SonicParanoid,7,9
H2AFZ,"H2A histone family, member Z",3015,142763,HTZ1,YOL012C,Histone Two A Z1,,,DiOPT,OrthoInspector|PANTHER|OrthoFinder|InParanoid|Hieranoid|OMA|SonicParanoid|Ensembl Compara,8,9
